[2025-01-19T12:11:24.146Z] INFO: Server is running on port 3000
[2025-01-19T12:11:27.050Z] INFO: Connected to MongoDB
[2025-01-19T12:12:39.881Z] INFO: Server is running on port 3000
[2025-01-19T12:12:42.678Z] INFO: Connected to MongoDB
[2025-01-19T12:15:37.450Z] INFO: Server is running on port 3000
[2025-01-19T12:15:38.404Z] INFO: Connected to MongoDB
[2025-01-19T12:26:51.573Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:26:51.704Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:26:51.715Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:26:51.876Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:26:52.035Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 3.00 ms
[2025-01-19T12:26:52.226Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 3.00 ms
[2025-01-19T12:26:52.231Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:26:52.404Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:26:52.570Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:26:52.715Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:26:52.721Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:26:52.890Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:26:53.014Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:26:53.175Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:26:53.180Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:26:53.341Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:26:53.576Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:26:53.702Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:26:53.706Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:26:53.885Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:26:54.153Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:26:54.314Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
